Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,19,false,nick170708!,2022-03-31T23:20:52Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:0V3wPSX9ygBnCm8psDIegu,"Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,84,false,nick170708!,2022-10-22T16:50:41Z,"","Taylor Swift",0.633,0.648,4,-6.645,1,0.062,0.121,0.00000262,0.161,0.49,96.888,4
spotify:track:02MWAaffLxlfxAUY7c5dvx,"Heat Waves","Dreamland (+ Bonus Levels)","Glass Animals",2020-08-06,238805,14,false,nick170708!,2022-01-16T05:45:02Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:29d0nY7TzCoi22XBqDQkiP,"Running Up That Hill (A Deal With God) - 2018 Remaster","Hounds of Love (2018 Remaster)","Kate Bush",1985-09-16,300840,7,false,nick170708!,2022-06-24T17:17:24Z,"art pop,baroque pop,art rock","Rhino",0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,4
spotify:track:1IHWl5LamUGEuP4ozKQSXZ,"Tití Me Preguntó","Un Verano Sin Ti","Bad Bunny",2022-05-06,243716,86,true,nick170708!,2022-11-28T15:03:29Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
spotify:track:27NovPIUIRrOZoCHxABJwK,"INDUSTRY BABY (feat. Jack Harlow)","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",2021-07-23,212000,77,true,nick170708!,2023-01-10T13:45:01Z,"","Columbia",0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,4
spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",2022-09-22,156943,80,false,nick170708!,2022-09-23T21:23:27Z,"soft pop","Capitol Records UK / EMI",0.719,0.454,2,-7.384,1,0.0707,0.0138,0.00000483,0.318,0.224,131.007,4
spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,"CUFF IT","RENAISSANCE","Beyoncé",2022-07-29,225388,79,true,nick170708!,2022-09-24T04:03:17Z,"","Parkwood Entertainment/Columbia",0.78,0.689,7,-5.668,1,0.141,0.0368,0.00000969,0.0698,0.642,115.042,4
spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,"Moth To A Flame (with The Weeknd)","Paradise Again","Swedish House Mafia,The Weeknd",2022-04-15,234000,83,false,nick170708!,2025-01-10T21:51:05Z,"edm","Republic Records",0.553,0.659,8,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,4
spotify:track:1rDQ4oMwGJI7B4tovsBOxc,"First Class","First Class","Jack Harlow",2022-04-08,173947,9,true,nick170708!,2022-04-08T22:08:21Z,"","Generation Now/Atlantic",0.905,0.563,8,-6.135,1,0.102,0.0254,0.00000971,0.113,0.324,106.998,4
spotify:track:1qEmFfgcLObUfQm0j1W2CK,"Late Night Talking","Harry's House","Harry Styles",2022-05-20,177954,81,false,nick170708!,2022-05-20T03:30:43Z,"","Columbia",0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,4
spotify:track:5CZ40GBx1sQ9agT82CLQCT,"traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,89,false,nick170708!,2023-06-29T12:39:02Z,"","Olivia Rodrigo PS",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
spotify:track:6I3mqTwhRpn34SLVafSH7G,"Ghost","Justice","Justin Bieber",2021-03-19,153190,86,false,nick170708!,2022-01-16T05:48:27Z,"","RBMG/Def Jam",0.601,0.741,2,-5.569,1,0.0478,0.185,0.0000291,0.415,0.441,153.96,4
spotify:track:6xGruZOHLs39ZbVccQTuPZ,"Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,16,false,nick170708!,2022-06-19T18:50:15Z,"","88rising Music/Warner Records",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232066,86,true,nick170708!,2022-07-23T17:36:31Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
spotify:track:3WMj8moIAXJhHsyLaqIIHI,"Something in the Orange","Something in the Orange","Zach Bryan",2022-04-22,228013,88,false,nick170708!,2024-08-31T05:39:13Z,"country,red dirt","Warner Records",0.369,0.192,4,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,3
spotify:track:0mL82sxCRjrs3br407IdJh,"Is There Someone Else?","Dawn FM","The Weeknd",2022-01-06,199111,84,false,nick170708!,2024-02-02T17:30:27Z,"","XO / Republic Records",0.702,0.586,9,-7.83,0,0.0313,0.0388,0.0000727,0.156,0.608,134.951,4
